x1	x2	x3	x4	x5	x6	x7	x8	x9	x:	x;	x<	x=	x>	u1	u2	u3	u4	u5	u6	u7	u8	error	numIter	cpuTime	cpuTimeSearchDirection	cpuTimeLineSearch	cpuTimeKKTError
-0.000028	0.017770	-0.000199	0.040584	-0.000223	0.038294	0.000050	-0.003163	0.535073	-0.009080	1.155876	-0.008080	1.129203	0.001810	-0.000930	9.890956	0.068719	-2.060711	0.051007	0.095718	-0.000573	0.000835	0.000371	5.000000	601.284000	595.610000	0.000000	0.000000
-0.000031	0.018309	-0.000208	0.041745	-0.000231	0.039429	0.000052	-0.003329	0.541385	-0.009354	1.166140	-0.008233	1.140203	0.001834	0.000141	9.895424	0.069161	-2.093006	0.051247	0.095898	-0.000579	0.000839	0.000369	5.000000	638.449001	632.612000	0.000000	0.000000
-0.000034	0.018853	-0.000217	0.042917	-0.000240	0.040574	0.000054	-0.003499	0.547617	-0.009628	1.176162	-0.008388	1.150946	0.001858	0.001187	9.899609	0.069594	-2.124462	0.051481	0.096072	-0.000583	0.000844	0.000367	5.000000	581.413000	575.685000	0.000000	0.000000
-0.000038	0.019404	-0.000227	0.044098	-0.000248	0.041731	0.000055	-0.003672	0.553772	-0.009902	1.185947	-0.008543	1.161435	0.001881	0.002209	9.903533	0.070018	-2.155104	0.051708	0.096238	-0.000588	0.000849	0.000365	5.000000	885.480999	879.230000	0.000000	0.000000
-0.000042	0.019961	-0.000237	0.045288	-0.000257	0.042897	0.000057	-0.003848	0.559851	-0.010177	1.195499	-0.008698	1.171678	0.001903	0.003209	9.907216	0.070435	-2.184954	0.051930	0.096399	-0.000593	0.000853	0.000363	5.000000	835.139000	828.732001	0.000000	0.000000
-0.000046	0.020523	-0.000248	0.046489	-0.000265	0.044074	0.000059	-0.004028	0.565856	-0.010452	1.204826	-0.008855	1.181680	0.001925	0.004186	9.910675	0.070844	-2.214034	0.052145	0.096554	-0.000597	0.000858	0.000361	5.000000	911.068000	905.316000	0.000000	0.000000
-0.000050	0.021092	-0.000258	0.047698	-0.000274	0.045260	0.000061	-0.004211	0.571789	-0.010726	1.213931	-0.009013	1.191447	0.001947	0.005143	9.913928	0.071245	-2.242366	0.052356	0.096703	-0.000601	0.000863	0.000360	5.000000	779.317000	773.430998	0.000000	0.000000
-0.000054	0.021667	-0.000269	0.048916	-0.000283	0.046457	0.000063	-0.004398	0.577651	-0.011001	1.222821	-0.009172	1.200983	0.001968	0.006078	9.916990	0.071640	-2.269971	0.052561	0.096847	-0.000605	0.000868	0.000358	5.000000	580.690999	574.806002	0.000000	0.000000
-0.000059	0.022248	-0.000280	0.050143	-0.000293	0.047662	0.000065	-0.004587	0.583445	-0.011274	1.231500	-0.009332	1.210295	0.001989	0.006994	9.919879	0.072027	-2.296869	0.052761	0.096987	-0.000609	0.000873	0.000357	5.000000	619.510000	613.677000	0.000000	0.000000
-0.000063	0.022834	-0.000292	0.051379	-0.000302	0.048877	0.000067	-0.004780	0.589170	-0.011547	1.239973	-0.009493	1.219387	0.002009	0.007890	9.922609	0.072409	-2.323080	0.052956	0.097122	-0.000612	0.000878	0.000355	5.000000	622.194000	616.476999	0.000000	0.000000
-0.000068	0.023426	-0.000303	0.052623	-0.000312	0.050101	0.000069	-0.004976	0.594830	-0.011818	1.248245	-0.009656	1.228265	0.002029	0.008766	9.925191	0.072784	-2.348622	0.053147	0.097253	-0.000616	0.000883	0.000352	5.000000	844.478001	838.666000	0.000000	0.000000
-0.000073	0.024023	-0.000315	0.053876	-0.000321	0.051334	0.000071	-0.005176	0.600426	-0.012088	1.256321	-0.009820	1.236933	0.002049	0.009624	9.927638	0.073154	-2.373513	0.053333	0.097379	-0.000619	0.000888	0.000349	5.000000	620.693000	614.914999	0.000000	0.000000
-0.000079	0.024627	-0.000327	0.055136	-0.000331	0.052575	0.000073	-0.005378	0.605959	-0.012357	1.264206	-0.009985	1.245396	0.002068	0.010464	9.929959	0.073518	-2.397772	0.053515	0.097502	-0.000622	0.000894	0.000345	5.000000	580.330000	574.619001	0.000000	0.000000
-0.000084	0.025235	-0.000340	0.056404	-0.000341	0.053824	0.000075	-0.005584	0.611430	-0.012624	1.271903	-0.010152	1.253659	0.002087	0.011285	9.932164	0.073876	-2.421413	0.053692	0.097621	-0.000625	0.000899	0.000340	5.000000	579.578000	573.829998	0.000000	0.000000
-0.000090	0.025849	-0.000353	0.057680	-0.000352	0.055082	0.000077	-0.005793	0.616841	-0.012889	1.279418	-0.010321	1.261727	0.002106	0.012088	9.934261	0.074228	-2.444454	0.053865	0.097736	-0.000627	0.000904	0.000335	5.000000	580.585000	574.821001	0.000000	0.000000
-0.000096	0.026469	-0.000366	0.058963	-0.000362	0.056348	0.000079	-0.006005	0.622194	-0.013152	1.286754	-0.010491	1.269605	0.002124	0.012873	9.936257	0.074575	-2.466910	0.054034	0.097849	-0.000630	0.000910	0.000330	5.000000	579.560000	573.831000	0.000000	0.000000
